"Timestamp","Do you have a mobile device with Internet connection?","Do you use the mobile device for your studies?","What type of mobile device do you own? ","Gender","Academic Major","How often do you use the mobile device for your studies?","What materials do you use for mobile learning? (Select all that apply)","Do you use mobile learning for college studies or self-study?","If you use mobile learning for college preparation, what is the main reason? (Select all that apply)","Where do you typically use your mobile device for your studies? (Select all that apply)","What do you consider as negative features of mobile devices? (Select all that apply)","I find mobile learning resources helpful for my studies.","I feel comfortable using mobile devices for educational purposes.","I believe mobile learning enhances my learning experience.","I prefer mobile learning over traditional classroom methods.","I encounter technical difficulties while using mobile learning platforms.","What is your overall opinion on mobile learning? (Please express your point of view in your own words). [Optional]"
"2024/04/29 9:07:53 AM GMT+5:45","Yes","Yes","Smartphone","Male","IT","More often","Web pages;Applications","Both","Information about study results","At home;Somewhere else (please specify)","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Social issues (e.g., distraction, addiction)","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Very Often","I consider  mobile learning as good aspect for learning. I don't support mobile learning as fully study materials but as support for learner. It will be good if we will able to merge traditional method of learning with mobile learning It will give new experience to learner."
"2024/04/29 9:08:33 AM GMT+5:45","Yes","Yes","Smartphone","Female","IT","Two to three times a week","Applications","Both","Revision before tests","Somewhere else (please specify)","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Sometimes","I think mobile learning is awesome. It allows us to learn anytime, and makes education   more ."
"2024/04/29 9:09:08 AM GMT+5:45","Yes","Yes","Smartphone","Female","IT","Two to three times a week","Other (please specify)","Both","Revision before tests","At home","Social issues (e.g., distraction, addiction)","Agree","Agree","Agree","Agree","Sometimes","mobile learning is good but sometimes it distracts "
"2024/04/29 9:12:51 AM GMT+5:45","Yes","Yes","Smartphone","Female","IT","More often","Other (please specify)","Both","Main source of information;Revision before tests;Information about study results","At home;At college","Health issues (e.g., eye strain, posture problems)","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Often","it's good for selfstudy"
"2024/04/29 9:13:02 AM GMT+5:45","Yes","Yes","Smartphone","Male","IT","More often","Web pages","Both","Main source of information","At home","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Agree","Agree","Agree","Disagree","Very Often","My opinion is that mobile learning is very much helpful as it helps to explore more beyond our text book but if it is used in a proper way."
"2024/04/29 9:49:57 AM GMT+5:45","Yes","Yes","Smartphone","Female","IT","Two to three times a week","Web pages","Both","Main source of information;Instead of attending lectures;Revision before tests;Information about study results","At home;At college;At work","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Rarely",""
"2024/04/29 11:13:28 AM GMT+5:45","Yes","Yes","Smartphone","Female","IT","Two to three times a week","Web pages","Both","Main source of information;Revision before tests","At home","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Sometimes",""
"2024/04/29 11:39:33 AM GMT+5:45","Yes","Yes","Smartphone","Male","Others","Once a week","Web pages","Both","Revision before tests","At home","Hardware limitations (e.g., screen size, touch screen interface, short battery life)","Agree","Agree","Agree","Neither Agree nor Disagree","Often","Mobile learning helps to deal with the modern education system . "
"2024/04/29 2:28:21 PM GMT+5:45","Yes","Yes","Smartphone","Male","Humanities","Less than once a week","Web pages","Both","Main source of information","At home","Social issues (e.g., distraction, addiction)","Agree","Agree","Agree","Neither Agree nor Disagree","Sometimes",""
"2024/04/29 4:41:54 PM GMT+5:45","Yes","Yes","Smartphone","Female","IT","More often","Web pages","Both","Main source of information","At home;At college","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Agree","Strongly Agree","Agree","Agree","Often",""
"2024/04/29 4:55:06 PM GMT+5:45","Yes","Yes","Smartphone","Female","IT","More often","Web pages;Applications","Both","Main source of information;Instead of attending lectures;Revision before tests","At home","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Agree","Agree","Agree","Disagree","Rarely",""
"2024/04/29 5:26:48 PM GMT+5:45","Yes","No","Smartphone","Male","Engineering","Less than once a week","Other (please specify)","Self-study","Instead of attending lectures","While traveling","Health issues (e.g., eye strain, posture problems)","Agree","Disagree","Agree","Strongly Disagree","Sometimes","I do not use mobile for learning. It is destroying everything."
"2024/04/29 8:17:01 PM GMT+5:45","Yes","Yes","Smartphone","Female","IT","More often","Web pages;Other (please specify)","Both","Main source of information;Revision before tests;Information about study results","While traveling;At home","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction);Family issues (e.g., conflicts over usage)","Agree","Agree","Agree","Neither Agree nor Disagree","Often","It seems to be beneficial in many ways but somehow makes us lazy and less innovative and less creative."
"2024/04/29 9:29:30 PM GMT+5:45","Yes","Yes","Smartphone","Male","Business","Two to three times a week","Web pages;Applications","Both","Instead of attending lectures","At home","Family issues (e.g., conflicts over usage)","Strongly Agree","Agree","Agree","Agree","Sometimes","It is very useful to learn with mobile."
"2024/04/29 9:38:21 PM GMT+5:45","Yes","Yes","Smartphone","Female","Business","More often","Web pages;Applications","Self-study","Instead of attending lectures","At home;At college","Health issues (e.g., eye strain, posture problems)","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Rarely",""
"2024/04/29 9:45:02 PM GMT+5:45","Yes","Yes","Smartphone","Female","Business","Two to three times a week","Web pages;Applications","Both","Instead of attending lectures","At home;At college","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Agree","Agree","Neither Agree nor Disagree","Agree","Sometimes","Mobile learning is a flexible and accessible educational tool with vast potential for personalized and convenient learning experiences."
"2024/04/29 9:50:11 PM GMT+5:45","Yes","Yes","Smartphone","Male","Business","Two to three times a week","Web pages;Applications","Both","Instead of attending lectures","At home","Health issues (e.g., eye strain, posture problems)","Agree","Agree","Agree","Agree","Rarely","Mobile learning offers unparalleled flexibility and accessibility, revolutionizing education by empowering learners anytime, anywhere."
"2024/04/29 9:53:52 PM GMT+5:45","Yes","Yes","Smartphone","Female","Business","Once a week","Applications","Both","Instead of attending lectures","At home;At work","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Family issues (e.g., conflicts over usage)","Agree","Agree","Strongly Agree","Neither Agree nor Disagree","Sometimes","Mobile learning is like having a school in your pocket, making learning easier and more convenient wherever you go."
"2024/04/29 9:56:50 PM GMT+5:45","Yes","Yes","Smartphone","Female","Business","Two to three times a week","Applications","Both","Instead of attending lectures","At home;At college","Health issues (e.g., eye strain, posture problems);Family issues (e.g., conflicts over usage)","Agree","Neither Agree nor Disagree","Agree","Agree","Sometimes",""
"2024/04/29 9:58:27 PM GMT+5:45","Yes","Yes","Tablet","Male","IT","More often","Web pages;Applications;LMS courses","Both","Main source of information;Information about study results","While traveling;At home;At college;At work","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Agree","Strongly Agree","Strongly Agree","Agree","Rarely",""
"2024/04/29 9:59:49 PM GMT+5:45","Yes","Yes","Tablet","Female","IT","More often","Applications;LMS courses","Both","Main source of information;Information about study results","While traveling;At home;At college;At work","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction)","Agree","Agree","Strongly Agree","Agree","Rarely",""
"2024/04/29 10:11:44 PM GMT+5:45","Yes","Yes","Tablet","Female","IT","More often","Web pages;Applications;LMS courses","Both","Main source of information","While traveling;At home;At college;At work","Health issues (e.g., eye strain, posture problems);Family issues (e.g., conflicts over usage)","Agree","Agree","Strongly Agree","Agree","Rarely",""
"2024/04/29 10:12:41 PM GMT+5:45","Yes","Yes","Smartphone","Male","IT","More often","Web pages;Applications;LMS courses","Both","Main source of information","While traveling;At home;At college;At work","Health issues (e.g., eye strain, posture problems);Family issues (e.g., conflicts over usage)","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Rarely",""
"2024/04/29 10:13:36 PM GMT+5:45","Yes","Yes","Smartphone","Female","Management","Two to three times a week","Applications","Both","Instead of attending lectures","At home","Health issues (e.g., eye strain, posture problems);Family issues (e.g., conflicts over usage)","Agree","Neither Agree nor Disagree","Agree","Strongly Agree","Rarely",""
"2024/04/29 10:14:54 PM GMT+5:45","Yes","Yes","Smartphone","Male","Education","Two to three times a week","Applications","Both","Instead of attending lectures","At home","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Family issues (e.g., conflicts over usage)","Agree","Neither Agree nor Disagree","Strongly Agree","Agree","Sometimes",""
"2024/04/29 10:16:11 PM GMT+5:45","Yes","Yes","Smartphone","Male","Humanities","Two to three times a week","Applications","Both","Instead of attending lectures","At home","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Family issues (e.g., conflicts over usage)","Strongly Agree","Agree","Agree","Agree","Rarely",""
"2024/04/29 10:17:38 PM GMT+5:45","Yes","No","Smartphone","Female","IT","More often","LMS courses","Both","Main source of information","While traveling;At home;At college;At work","Social issues (e.g., distraction, addiction);Family issues (e.g., conflicts over usage)","Agree","Agree","Agree","Neither Agree nor Disagree","Sometimes",""
"2024/04/29 10:18:39 PM GMT+5:45","Yes","Yes","Smartphone","Male","IT","More often","Web pages;Applications;LMS courses","Both","Main source of information;Instead of attending lectures;Revision before tests;Information about study results","While traveling;At home;At college;At work","Health issues (e.g., eye strain, posture problems);Family issues (e.g., conflicts over usage)","Agree","Neither Agree nor Disagree","Agree","Agree","Rarely",""
"2024/04/29 10:19:26 PM GMT+5:45","Yes","Yes","Smartphone","Female","IT","More often","Web pages;Applications;LMS courses","Both","Main source of information;Instead of attending lectures;Revision before tests;Information about study results","While traveling;At home;At college;At work","Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction);Family issues (e.g., conflicts over usage)","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Rarely",""
"2024/04/29 10:21:47 PM GMT+5:45","Yes","Yes","Smartphone","Female","IT","More often","Applications;LMS courses","Both","Main source of information;Instead of attending lectures;Revision before tests","While traveling;At home;At college;At work","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Health issues (e.g., eye strain, posture problems);Social issues (e.g., distraction, addiction);Family issues (e.g., conflicts over usage)","Agree","Agree","Strongly Agree","Neither Agree nor Disagree","Sometimes",""
"2024/04/29 10:22:57 PM GMT+5:45","Yes","Yes","Smartphone","Male","IT","Two to three times a week","Applications;LMS courses","Both","Main source of information","At home","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Health issues (e.g., eye strain, posture problems)","Agree","Strongly Agree","Agree","Neither Agree nor Disagree","Often",""
"2024/04/29 10:25:30 PM GMT+5:45","Yes","Yes","Notebook","Male","IT","More often","Web pages;Applications;LMS courses","Both","Main source of information","While traveling;At home;At work","Health issues (e.g., eye strain, posture problems);Family issues (e.g., conflicts over usage)","Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Sometimes",""
"2024/04/29 10:26:24 PM GMT+5:45","Yes","Yes","Tablet","Male","IT","More often","Applications;LMS courses","Both","Main source of information","At home","Health issues (e.g., eye strain, posture problems);Family issues (e.g., conflicts over usage)","Strongly Agree","Strongly Agree","Agree","Agree","Rarely",""
"2024/04/29 10:27:23 PM GMT+5:45","Yes","Yes","Smartphone","Female","Education","Once a week","Web pages","Both","Instead of attending lectures","At home","Hardware limitations (e.g., screen size, touch screen interface, short battery life)","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Often",""
"2024/04/29 10:29:40 PM GMT+5:45","Yes","Yes","Smartphone","Female","Humanities","Two to three times a week","Web pages","Both","Instead of attending lectures","At home","Hardware limitations (e.g., screen size, touch screen interface, short battery life);Family issues (e.g., conflicts over usage)","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Often",""
"2024/04/30 8:17:39 AM GMT+5:45","Yes","Yes","Smartphone","Male","IT","More often","Web pages;Applications;LMS courses","Both","Instead of attending lectures","At home","Hardware limitations (e.g., screen size, touch screen interface, short battery life)","Agree","Agree","Agree","Agree","Sometimes",""
"2024/04/30 6:45:11 PM GMT+5:45","Yes","Yes","Smartphone","Female","Engineering","More often","Web pages;Applications;LMS courses","Both","Main source of information","At home;At college","Health issues (e.g., eye strain, posture problems);Family issues (e.g., conflicts over usage)","Strongly Agree","Strongly Agree","Agree","Neither Agree nor Disagree","Rarely",""
